Measure #0 from set 1 [2 --> 1], RSSI = -36
Measure #27 from set 1 [2 --> 1], RSSI = -38
Measure #27 from set 1 [1 --> 2], RSSI = -33
Measure #28 from set 1 [2 --> 1], RSSI = -38
Measure #28 from set 1 [1 --> 2], RSSI = -37
Measure #29 from set 1 [2 --> 1], RSSI = -41
Measure #29 from set 1 [1 --> 2], RSSI = -39
Measure #30 from set 1 [2 --> 1], RSSI = -37
Measure #30 from set 1 [1 --> 2], RSSI = -33
Measure #31 from set 1 [2 --> 1], RSSI = -37
Measure #31 from set 1 [1 --> 2], RSSI = -36
Measure #32 from set 1 [2 --> 1], RSSI = -37
Measure #32 from set 1 [1 --> 2], RSSI = -35
Measure #33 from set 1 [2 --> 1], RSSI = -38
Measure #33 from set 1 [1 --> 2], RSSI = -36
Measure #34 from set 1 [2 --> 1], RSSI = -38
Measure #34 from set 1 [1 --> 2], RSSI = -38
Measure #35 from set 1 [2 --> 1], RSSI = -37
Measure #35 from set 1 [1 --> 2], RSSI = -37
Measure #36 from set 1 [2 --> 1], RSSI = -38
Measure #36 from set 1 [1 --> 2], RSSI = -36
Measure #37 from set 1 [2 --> 1], RSSI = -38
Measure #37 from set 1 [1 --> 2], RSSI = -39
Measure #38 from set 1 [2 --> 1], RSSI = -46
Measure #38 from set 1 [1 --> 2], RSSI = -38
Measure #39 from set 1 [2 --> 1], RSSI = -40
Measure #39 from set 1 [1 --> 2], RSSI = -37
Measure #40 from set 1 [2 --> 1], RSSI = -39
Measure #40 from set 1 [1 --> 2], RSSI = -37
Measure #41 from set 1 [2 --> 1], RSSI = -38
Measure #41 from set 1 [1 --> 2], RSSI = -35
Measure #42 from set 1 [2 --> 1], RSSI = -37
Measure #42 from set 1 [1 --> 2], RSSI = -33
Measure #43 from set 1 [2 --> 1], RSSI = -37
Measure #43 from set 1 [1 --> 2], RSSI = -34
Measure #44 from set 1 [2 --> 1], RSSI = -37
Measure #44 from set 1 [1 --> 2], RSSI = -33
Measure #45 from set 1 [2 --> 1], RSSI = -38
Measure #45 from set 1 [1 --> 2], RSSI = -33
Measure #46 from set 1 [2 --> 1], RSSI = -37
Measure #46 from set 1 [1 --> 2], RSSI = -33
Measure #47 from set 1 [2 --> 1], RSSI = -39
Measure #47 from set 1 [1 --> 2], RSSI = -33
Measure #48 from set 1 [2 --> 1], RSSI = -40
Measure #48 from set 1 [1 --> 2], RSSI = -35
Measure #49 from set 1 [2 --> 1], RSSI = -39
Measure #49 from set 1 [1 --> 2], RSSI = -37
Measure #50 from set 1 [2 --> 1], RSSI = -40
Measure #50 from set 1 [1 --> 2], RSSI = -37
Measure #51 from set 1 [2 --> 1], RSSI = -41
Measure #51 from set 1 [1 --> 2], RSSI = -41
Measure #52 from set 1 [2 --> 1], RSSI = -39
Measure #52 from set 1 [1 --> 2], RSSI = -37
Measure #53 from set 1 [2 --> 1], RSSI = -38
Measure #53 from set 1 [1 --> 2], RSSI = -35
Measure #54 from set 1 [2 --> 1], RSSI = -37
Measure #54 from set 1 [1 --> 2], RSSI = -33
Measure #55 from set 1 [2 --> 1], RSSI = -37
Measure #55 from set 1 [1 --> 2], RSSI = -33
Measure #56 from set 1 [2 --> 1], RSSI = -35
Measure #56 from set 1 [1 --> 2], RSSI = -31
Measure #57 from set 1 [2 --> 1], RSSI = -33
Measure #57 from set 1 [1 --> 2], RSSI = -33
Measure #58 from set 1 [2 --> 1], RSSI = -39
Measure #58 from set 1 [1 --> 2], RSSI = -37
Measure #59 from set 1 [2 --> 1], RSSI = -39
Measure #59 from set 1 [1 --> 2], RSSI = -36
Measure #60 from set 1 [2 --> 1], RSSI = -32
Measure #60 from set 1 [1 --> 2], RSSI = -30
Measure #61 from set 1 [2 --> 1], RSSI = -35
Measure #61 from set 1 [1 --> 2], RSSI = -31
Measure #62 from set 1 [2 --> 1], RSSI = -37
Measure #62 from set 1 [1 --> 2], RSSI = -35
Measure #63 from set 1 [2 --> 1], RSSI = -37
Measure #63 from set 1 [1 --> 2], RSSI = -33
Measure #64 from set 1 [2 --> 1], RSSI = -35
Measure #64 from set 1 [1 --> 2], RSSI = -31
Measure #65 from set 1 [2 --> 1], RSSI = -39
Measure #65 from set 1 [1 --> 2], RSSI = -37
Measure #66 from set 1 [2 --> 1], RSSI = -40
Measure #66 from set 1 [1 --> 2], RSSI = -37
Measure #67 from set 1 [2 --> 1], RSSI = -39
Measure #67 from set 1 [1 --> 2], RSSI = -37
Measure #68 from set 1 [2 --> 1], RSSI = -41
Measure #68 from set 1 [1 --> 2], RSSI = -38
Measure #69 from set 1 [2 --> 1], RSSI = -39
Measure #69 from set 1 [1 --> 2], RSSI = -35
Measure #70 from set 1 [2 --> 1], RSSI = -37
Measure #70 from set 1 [1 --> 2], RSSI = -32
Measure #71 from set 1 [2 --> 1], RSSI = -37
Measure #71 from set 1 [1 --> 2], RSSI = -36
Measure #72 from set 1 [2 --> 1], RSSI = -41
Measure #72 from set 1 [1 --> 2], RSSI = -39
Measure #73 from set 1 [2 --> 1], RSSI = -41
Measure #73 from set 1 [1 --> 2], RSSI = -38
Measure #74 from set 1 [2 --> 1], RSSI = -41
Measure #74 from set 1 [1 --> 2], RSSI = -37
Measure #75 from set 1 [2 --> 1], RSSI = -41
Measure #75 from set 1 [1 --> 2], RSSI = -40
Measure #76 from set 1 [2 --> 1], RSSI = -41
Measure #76 from set 1 [1 --> 2], RSSI = -39
Measure #77 from set 1 [2 --> 1], RSSI = -40
Measure #77 from set 1 [1 --> 2], RSSI = -37
Measure #78 from set 1 [2 --> 1], RSSI = -37
Measure #78 from set 1 [1 --> 2], RSSI = -37
Measure #79 from set 1 [2 --> 1], RSSI = -39
Measure #79 from set 1 [1 --> 2], RSSI = -37
Measure #80 from set 1 [2 --> 1], RSSI = -41
Measure #80 from set 1 [1 --> 2], RSSI = -40
Measure #81 from set 1 [2 --> 1], RSSI = -43
Measure #81 from set 1 [1 --> 2], RSSI = -41
Measure #82 from set 1 [2 --> 1], RSSI = -39
Measure #82 from set 1 [1 --> 2], RSSI = -37
Measure #83 from set 1 [2 --> 1], RSSI = -39
Measure #83 from set 1 [1 --> 2], RSSI = -36
Measure #84 from set 1 [2 --> 1], RSSI = -39
Measure #84 from set 1 [1 --> 2], RSSI = -38
Measure #85 from set 1 [2 --> 1], RSSI = -40
Measure #85 from set 1 [1 --> 2], RSSI = -39
Measure #86 from set 1 [2 --> 1], RSSI = -46
Measure #86 from set 1 [1 --> 2], RSSI = -41
Measure #87 from set 1 [2 --> 1], RSSI = -41
Measure #87 from set 1 [1 --> 2], RSSI = -38
Measure #88 from set 1 [2 --> 1], RSSI = -41
Measure #88 from set 1 [1 --> 2], RSSI = -40
Measure #89 from set 1 [2 --> 1], RSSI = -41
Measure #89 from set 1 [1 --> 2], RSSI = -37
Measure #90 from set 1 [2 --> 1], RSSI = -40
Measure #90 from set 1 [1 --> 2], RSSI = -38
Measure #91 from set 1 [2 --> 1], RSSI = -41
Measure #91 from set 1 [1 --> 2], RSSI = -37
Measure #92 from set 1 [2 --> 1], RSSI = -40
Measure #92 from set 1 [1 --> 2], RSSI = -37
Measure #93 from set 1 [2 --> 1], RSSI = -40
Measure #93 from set 1 [1 --> 2], RSSI = -38
Measure #94 from set 1 [2 --> 1], RSSI = -41
Measure #94 from set 1 [1 --> 2], RSSI = -39
Measure #95 from set 1 [2 --> 1], RSSI = -43
Measure #95 from set 1 [1 --> 2], RSSI = -39
Measure #96 from set 1 [2 --> 1], RSSI = -43
Measure #96 from set 1 [1 --> 2], RSSI = -39
Measure #97 from set 1 [2 --> 1], RSSI = -40
Measure #97 from set 1 [1 --> 2], RSSI = -38
Measure #98 from set 1 [2 --> 1], RSSI = -43
Measure #98 from set 1 [1 --> 2], RSSI = -39
Measure #99 from set 1 [2 --> 1], RSSI = -40
Measure #99 from set 1 [1 --> 2], RSSI = -41
Measure #100 from set 1 [2 --> 1], RSSI = -43
Measure #100 from set 1 [1 --> 2], RSSI = -41
Measure #101 from set 1 [2 --> 1], RSSI = -39
Measure #101 from set 1 [1 --> 2], RSSI = -37
Measure #102 from set 1 [2 --> 1], RSSI = -39
Measure #102 from set 1 [1 --> 2], RSSI = -35
Measure #103 from set 1 [2 --> 1], RSSI = -55
Measure #103 from set 1 [1 --> 2], RSSI = -41
Measure #104 from set 1 [2 --> 1], RSSI = -41
Measure #104 from set 1 [1 --> 2], RSSI = -38
Measure #105 from set 1 [2 --> 1], RSSI = -41
Measure #105 from set 1 [1 --> 2], RSSI = -39
Measure #106 from set 1 [2 --> 1], RSSI = -43
Measure #106 from set 1 [1 --> 2], RSSI = -39
Measure #107 from set 1 [2 --> 1], RSSI = -43
Measure #107 from set 1 [1 --> 2], RSSI = -41
Measure #108 from set 1 [2 --> 1], RSSI = -43
Measure #108 from set 1 [1 --> 2], RSSI = -42
Measure #109 from set 1 [2 --> 1], RSSI = -42
Measure #109 from set 1 [1 --> 2], RSSI = -39
Measure #110 from set 1 [2 --> 1], RSSI = -39
Measure #110 from set 1 [1 --> 2], RSSI = -37
Measure #111 from set 1 [2 --> 1], RSSI = -41
Measure #111 from set 1 [1 --> 2], RSSI = -39
Measure #112 from set 1 [2 --> 1], RSSI = -43
Measure #112 from set 1 [1 --> 2], RSSI = -40
Measure #113 from set 1 [2 --> 1], RSSI = -39
Measure #113 from set 1 [1 --> 2], RSSI = -37
Measure #114 from set 1 [2 --> 1], RSSI = -40
Measure #114 from set 1 [1 --> 2], RSSI = -37
Measure #115 from set 1 [2 --> 1], RSSI = -39
Measure #115 from set 1 [1 --> 2], RSSI = -35
Measure #116 from set 1 [2 --> 1], RSSI = -41
Measure #116 from set 1 [1 --> 2], RSSI = -37
Measure #117 from set 1 [2 --> 1], RSSI = -38
Measure #117 from set 1 [1 --> 2], RSSI = -34
Measure #118 from set 1 [2 --> 1], RSSI = -36
Measure #118 from set 1 [1 --> 2], RSSI = -32
Measure #119 from set 1 [2 --> 1], RSSI = -37
Measure #119 from set 1 [1 --> 2], RSSI = -34
Measure #120 from set 1 [2 --> 1], RSSI = -37
Measure #120 from set 1 [1 --> 2], RSSI = -34
Measure #121 from set 1 [2 --> 1], RSSI = -39
Measure #121 from set 1 [1 --> 2], RSSI = -40
Measure #122 from set 1 [2 --> 1], RSSI = -50
Measure #122 from set 1 [1 --> 2], RSSI = -55
Measure #123 from set 1 [2 --> 1], RSSI = -45
Measure #123 from set 1 [1 --> 2], RSSI = -41
Measure #124 from set 1 [2 --> 1], RSSI = -43
Measure #124 from set 1 [1 --> 2], RSSI = -41
Measure #125 from set 1 [2 --> 1], RSSI = -42
Measure #125 from set 1 [1 --> 2], RSSI = -39
Measure #126 from set 1 [2 --> 1], RSSI = -41
Measure #126 from set 1 [1 --> 2], RSSI = -39
Measure #127 from set 1 [2 --> 1], RSSI = -41
Measure #127 from set 1 [1 --> 2], RSSI = -41
Measure #128 from set 1 [2 --> 1], RSSI = -41
Measure #128 from set 1 [1 --> 2], RSSI = -39
Measure #129 from set 1 [2 --> 1], RSSI = -42
Measure #129 from set 1 [1 --> 2], RSSI = -40
Measure #130 from set 1 [2 --> 1], RSSI = -41
Measure #130 from set 1 [1 --> 2], RSSI = -39
Measure #131 from set 1 [2 --> 1], RSSI = -41
Measure #131 from set 1 [1 --> 2], RSSI = -38
Measure #132 from set 1 [2 --> 1], RSSI = -41
Measure #132 from set 1 [1 --> 2], RSSI = -40
Measure #133 from set 1 [2 --> 1], RSSI = -41
Measure #133 from set 1 [1 --> 2], RSSI = -40
Measure #134 from set 1 [2 --> 1], RSSI = -42
Measure #134 from set 1 [1 --> 2], RSSI = -40
Measure #135 from set 1 [2 --> 1], RSSI = -43
Measure #135 from set 1 [1 --> 2], RSSI = -39
Measure #136 from set 1 [2 --> 1], RSSI = -41
Measure #136 from set 1 [1 --> 2], RSSI = -40
Measure #137 from set 1 [2 --> 1], RSSI = -47
Measure #137 from set 1 [1 --> 2], RSSI = -43
Measure #138 from set 1 [2 --> 1], RSSI = -43
Measure #138 from set 1 [1 --> 2], RSSI = -39
Measure #139 from set 1 [2 --> 1], RSSI = -41
Measure #139 from set 1 [1 --> 2], RSSI = -40
Measure #140 from set 1 [2 --> 1], RSSI = -40
Measure #140 from set 1 [1 --> 2], RSSI = -39
Measure #141 from set 1 [2 --> 1], RSSI = -41
Measure #141 from set 1 [1 --> 2], RSSI = -39
Measure #142 from set 1 [2 --> 1], RSSI = -41
Measure #142 from set 1 [1 --> 2], RSSI = -38
Measure #143 from set 1 [2 --> 1], RSSI = -40
Measure #143 from set 1 [1 --> 2], RSSI = -38
Measure #144 from set 1 [2 --> 1], RSSI = -41
Measure #144 from set 1 [1 --> 2], RSSI = -39
Measure #145 from set 1 [2 --> 1], RSSI = -41
Measure #145 from set 1 [1 --> 2], RSSI = -38
Measure #146 from set 1 [2 --> 1], RSSI = -40
Measure #146 from set 1 [1 --> 2], RSSI = -38
Measure #147 from set 1 [2 --> 1], RSSI = -38
Measure #147 from set 1 [1 --> 2], RSSI = -33
Measure #148 from set 1 [2 --> 1], RSSI = -37
Measure #148 from set 1 [1 --> 2], RSSI = -36
Measure #149 from set 1 [2 --> 1], RSSI = -44
Measure #149 from set 1 [1 --> 2], RSSI = -42
Measure #150 from set 1 [2 --> 1], RSSI = -45
Measure #150 from set 1 [1 --> 2], RSSI = -41
Measure #151 from set 1 [2 --> 1], RSSI = -43
Measure #151 from set 1 [1 --> 2], RSSI = -41
Measure #152 from set 1 [2 --> 1], RSSI = -40
Measure #152 from set 1 [1 --> 2], RSSI = -36
Measure #153 from set 1 [2 --> 1], RSSI = -39
Measure #153 from set 1 [1 --> 2], RSSI = -38
Measure #154 from set 1 [2 --> 1], RSSI = -40
Measure #154 from set 1 [1 --> 2], RSSI = -36
Measure #155 from set 1 [2 --> 1], RSSI = -39
Measure #155 from set 1 [1 --> 2], RSSI = -35
Measure #156 from set 1 [2 --> 1], RSSI = -40
Measure #156 from set 1 [1 --> 2], RSSI = -37
Measure #157 from set 1 [2 --> 1], RSSI = -39
Measure #157 from set 1 [1 --> 2], RSSI = -37
Measure #158 from set 1 [2 --> 1], RSSI = -39
Measure #158 from set 1 [1 --> 2], RSSI = -37
Measure #159 from set 1 [2 --> 1], RSSI = -39
Measure #159 from set 1 [1 --> 2], RSSI = -36
Measure #160 from set 1 [2 --> 1], RSSI = -37
Measure #160 from set 1 [1 --> 2], RSSI = -33
Measure #161 from set 1 [2 --> 1], RSSI = -37
Measure #161 from set 1 [1 --> 2], RSSI = -34
Measure #162 from set 1 [2 --> 1], RSSI = -37
Measure #162 from set 1 [1 --> 2], RSSI = -33
Measure #163 from set 1 [2 --> 1], RSSI = -37
Measure #163 from set 1 [1 --> 2], RSSI = -33
Measure #164 from set 1 [2 --> 1], RSSI = -37
Measure #164 from set 1 [1 --> 2], RSSI = -32
Measure #165 from set 1 [2 --> 1], RSSI = -36
Measure #165 from set 1 [1 --> 2], RSSI = -32
Measure #166 from set 1 [2 --> 1], RSSI = -37
Measure #166 from set 1 [1 --> 2], RSSI = -33
Measure #167 from set 1 [2 --> 1], RSSI = -37
Measure #167 from set 1 [1 --> 2], RSSI = -33
Measure #168 from set 1 [2 --> 1], RSSI = -37
Measure #168 from set 1 [1 --> 2], RSSI = -33
Measure #169 from set 1 [2 --> 1], RSSI = -37
Measure #169 from set 1 [1 --> 2], RSSI = -33
Measure #170 from set 1 [2 --> 1], RSSI = -37
Measure #170 from set 1 [1 --> 2], RSSI = -33
Measure #171 from set 1 [2 --> 1], RSSI = -37
Measure #171 from set 1 [1 --> 2], RSSI = -33
Measure #172 from set 1 [2 --> 1], RSSI = -37
Measure #172 from set 1 [1 --> 2], RSSI = -33
Measure #173 from set 1 [2 --> 1], RSSI = -35
Measure #173 from set 1 [1 --> 2], RSSI = -31
Measure #174 from set 1 [2 --> 1], RSSI = -36
Measure #174 from set 1 [1 --> 2], RSSI = -32
Measure #175 from set 1 [2 --> 1], RSSI = -36
Measure #175 from set 1 [1 --> 2], RSSI = -32
Measure #176 from set 1 [2 --> 1], RSSI = -36
Measure #176 from set 1 [1 --> 2], RSSI = -32
Measure #177 from set 1 [2 --> 1], RSSI = -35
Measure #177 from set 1 [1 --> 2], RSSI = -31
Measure #178 from set 1 [2 --> 1], RSSI = -35
Measure #178 from set 1 [1 --> 2], RSSI = -31
Measure #179 from set 1 [2 --> 1], RSSI = -35
Measure #179 from set 1 [1 --> 2], RSSI = -30
Measure #180 from set 1 [2 --> 1], RSSI = -35
Measure #180 from set 1 [1 --> 2], RSSI = -31
Measure #181 from set 1 [2 --> 1], RSSI = -37
Measure #181 from set 1 [1 --> 2], RSSI = -33
Measure #182 from set 1 [2 --> 1], RSSI = -37
Measure #182 from set 1 [1 --> 2], RSSI = -31
Measure #183 from set 1 [2 --> 1], RSSI = -37
Measure #183 from set 1 [1 --> 2], RSSI = -35
Measure #184 from set 1 [2 --> 1], RSSI = -37
Measure #184 from set 1 [1 --> 2], RSSI = -34
Measure #185 from set 1 [2 --> 1], RSSI = -37
Measure #185 from set 1 [1 --> 2], RSSI = -36
Measure #186 from set 1 [2 --> 1], RSSI = -37
Measure #186 from set 1 [1 --> 2], RSSI = -33
Measure #187 from set 1 [2 --> 1], RSSI = -37
Measure #187 from set 1 [1 --> 2], RSSI = -33
Measure #188 from set 1 [2 --> 1], RSSI = -39
Measure #188 from set 1 [1 --> 2], RSSI = -35
Measure #189 from set 1 [2 --> 1], RSSI = -38
Measure #189 from set 1 [1 --> 2], RSSI = -35
Measure #190 from set 1 [2 --> 1], RSSI = -39
Measure #190 from set 1 [1 --> 2], RSSI = -37
Measure #191 from set 1 [2 --> 1], RSSI = -37
Measure #191 from set 1 [1 --> 2], RSSI = -33
Measure #192 from set 1 [2 --> 1], RSSI = -38
Measure #192 from set 1 [1 --> 2], RSSI = -35
Measure #193 from set 1 [2 --> 1], RSSI = -37
Measure #193 from set 1 [1 --> 2], RSSI = -33
Measure #194 from set 1 [2 --> 1], RSSI = -37
Measure #194 from set 1 [1 --> 2], RSSI = -33
Measure #195 from set 1 [2 --> 1], RSSI = -37
Measure #195 from set 1 [1 --> 2], RSSI = -36
Measure #196 from set 1 [2 --> 1], RSSI = -37
Measure #196 from set 1 [1 --> 2], RSSI = -31
Measure #197 from set 1 [2 --> 1], RSSI = -38
Measure #197 from set 1 [1 --> 2], RSSI = -36
Measure #198 from set 1 [2 --> 1], RSSI = -38
Measure #198 from set 1 [1 --> 2], RSSI = -33
Measure #199 from set 1 [2 --> 1], RSSI = -38
Measure #199 from set 1 [1 --> 2], RSSI = -36
Measure #200 from set 1 [2 --> 1], RSSI = -38
Measure #200 from set 1 [1 --> 2], RSSI = -34
Measure #201 from set 1 [2 --> 1], RSSI = -41
Measure #201 from set 1 [1 --> 2], RSSI = -37
Measure #202 from set 1 [2 --> 1], RSSI = -38
Measure #202 from set 1 [1 --> 2], RSSI = -36
Measure #203 from set 1 [2 --> 1], RSSI = -40
Measure #203 from set 1 [1 --> 2], RSSI = -38
Measure #204 from set 1 [2 --> 1], RSSI = -41
Measure #204 from set 1 [1 --> 2], RSSI = -39
Measure #205 from set 1 [2 --> 1], RSSI = -43
Measure #205 from set 1 [1 --> 2], RSSI = -42
Measure #206 from set 1 [2 --> 1], RSSI = -45
Measure #206 from set 1 [1 --> 2], RSSI = -41
Measure #207 from set 1 [2 --> 1], RSSI = -45
Measure #207 from set 1 [1 --> 2], RSSI = -41
Measure #208 from set 1 [2 --> 1], RSSI = -44
Measure #208 from set 1 [1 --> 2], RSSI = -41
Measure #209 from set 1 [2 --> 1], RSSI = -45
Measure #209 from set 1 [1 --> 2], RSSI = -41
Measure #210 from set 1 [2 --> 1], RSSI = -45
Measure #210 from set 1 [1 --> 2], RSSI = -44
Measure #211 from set 1 [2 --> 1], RSSI = -49
Measure #211 from set 1 [1 --> 2], RSSI = -44
Measure #212 from set 1 [2 --> 1], RSSI = -50
Measure #212 from set 1 [1 --> 2], RSSI = -48
Measure #213 from set 1 [2 --> 1], RSSI = -49
Measure #213 from set 1 [1 --> 2], RSSI = -47
Measure #214 from set 1 [2 --> 1], RSSI = -47
Measure #214 from set 1 [1 --> 2], RSSI = -42
Measure #215 from set 1 [2 --> 1], RSSI = -43
Measure #215 from set 1 [1 --> 2], RSSI = -39
Measure #216 from set 1 [2 --> 1], RSSI = -41
Measure #216 from set 1 [1 --> 2], RSSI = -39
Measure #217 from set 1 [2 --> 1], RSSI = -57
Measure #217 from set 1 [1 --> 2], RSSI = -55
Measure #218 from set 1 [1 --> 2], RSSI = -52
Measure #218 from set 1 [2 --> 1], RSSI = -54
Measure #219 from set 1 [1 --> 2], RSSI = -48
Measure #219 from set 1 [2 --> 1], RSSI = -47
Measure #220 from set 1 [1 --> 2], RSSI = -45
Measure #220 from set 1 [2 --> 1], RSSI = -43
Measure #221 from set 1 [1 --> 2], RSSI = -43
Measure #221 from set 1 [2 --> 1], RSSI = -41
Measure #222 from set 1 [1 --> 2], RSSI = -37
Measure #222 from set 1 [2 --> 1], RSSI = -38
Measure #223 from set 1 [1 --> 2], RSSI = -36
Measure #223 from set 1 [2 --> 1], RSSI = -39
Measure #224 from set 1 [1 --> 2], RSSI = -37
Measure #224 from set 1 [2 --> 1], RSSI = -40
Measure #225 from set 1 [1 --> 2], RSSI = -37
Measure #225 from set 1 [2 --> 1], RSSI = -38
Measure #226 from set 1 [1 --> 2], RSSI = -32
Measure #226 from set 1 [2 --> 1], RSSI = -37
Measure #227 from set 1 [1 --> 2], RSSI = -33
Measure #227 from set 1 [2 --> 1], RSSI = -39
Measure #228 from set 1 [1 --> 2], RSSI = -41
Measure #228 from set 1 [2 --> 1], RSSI = -41
Measure #229 from set 1 [1 --> 2], RSSI = -37
Measure #229 from set 1 [2 --> 1], RSSI = -37
Measure #230 from set 1 [1 --> 2], RSSI = -37
Measure #230 from set 1 [2 --> 1], RSSI = -40
Measure #231 from set 1 [1 --> 2], RSSI = -36
Measure #231 from set 1 [2 --> 1], RSSI = -41
Measure #232 from set 1 [1 --> 2], RSSI = -38
Measure #232 from set 1 [2 --> 1], RSSI = -38
Measure #233 from set 1 [1 --> 2], RSSI = -34
Measure #233 from set 1 [2 --> 1], RSSI = -35
Measure #234 from set 1 [1 --> 2], RSSI = -31
Measure #234 from set 1 [2 --> 1], RSSI = -35
Measure #235 from set 1 [1 --> 2], RSSI = -31
Measure #235 from set 1 [2 --> 1], RSSI = -35
Measure #236 from set 1 [1 --> 2], RSSI = -32
Measure #236 from set 1 [2 --> 1], RSSI = -35
Measure #237 from set 1 [1 --> 2], RSSI = -32
Measure #237 from set 1 [2 --> 1], RSSI = -36
Measure #238 from set 1 [1 --> 2], RSSI = -31
Measure #238 from set 1 [2 --> 1], RSSI = -37
Measure #239 from set 1 [1 --> 2], RSSI = -33
Measure #239 from set 1 [2 --> 1], RSSI = -37
Measure #240 from set 1 [1 --> 2], RSSI = -36
Measure #240 from set 1 [2 --> 1], RSSI = -39
Measure #241 from set 1 [1 --> 2], RSSI = -36
Measure #241 from set 1 [2 --> 1], RSSI = -38
Measure #242 from set 1 [1 --> 2], RSSI = -36
Measure #242 from set 1 [2 --> 1], RSSI = -39
Measure #243 from set 1 [1 --> 2], RSSI = -37
Measure #243 from set 1 [2 --> 1], RSSI = -41
Measure #244 from set 1 [1 --> 2], RSSI = -38
Measure #244 from set 1 [2 --> 1], RSSI = -39
Measure #245 from set 1 [1 --> 2], RSSI = -37
Measure #245 from set 1 [2 --> 1], RSSI = -38
Measure #246 from set 1 [1 --> 2], RSSI = -36
Measure #246 from set 1 [2 --> 1], RSSI = -38
Measure #247 from set 1 [1 --> 2], RSSI = -36
Measure #247 from set 1 [2 --> 1], RSSI = -38
Measure #248 from set 1 [1 --> 2], RSSI = -35
Measure #248 from set 1 [2 --> 1], RSSI = -37
Measure #249 from set 1 [1 --> 2], RSSI = -32
Measure #249 from set 1 [2 --> 1], RSSI = -36
Measure #250 from set 1 [1 --> 2], RSSI = -32
Measure #250 from set 1 [2 --> 1], RSSI = -37
Measure #251 from set 1 [1 --> 2], RSSI = -33
Measure #251 from set 1 [2 --> 1], RSSI = -37
Measure #252 from set 1 [1 --> 2], RSSI = -32
Measure #252 from set 1 [2 --> 1], RSSI = -36
Measure #253 from set 1 [1 --> 2], RSSI = -32
Measure #253 from set 1 [2 --> 1], RSSI = -36
Measure #254 from set 1 [1 --> 2], RSSI = -32
Measure #254 from set 1 [2 --> 1], RSSI = -36
Measure #255 from set 1 [1 --> 2], RSSI = -32
Measure #255 from set 1 [2 --> 1], RSSI = -37
Measure #256 from set 1 [1 --> 2], RSSI = -34
Measure #256 from set 1 [2 --> 1], RSSI = -37
Measure #257 from set 1 [1 --> 2], RSSI = -33
Measure #257 from set 1 [2 --> 1], RSSI = -38
Measure #258 from set 1 [1 --> 2], RSSI = -36
